1145101835|41876|Charred Barbarian's Chest|[ Charred Barbarian's Chest],[ (Rare)],[Hue: vintage white (2791)],[Weight: 16 stones],[Price: 250,000],[Contents will be destroyed if broken],[[Single click for more Information],[1 items, 1 stones]|787|746|Sandya|2791
1172684190|41876|Charred Barbarian's Chest|[ Charred Barbarian's Chest],[ (Rare)],[Hue: vintage white (2791)],[Weight: 16 stones],[Price: 250,000],[Contents will be destroyed if broken],[[Single click for more Information],[1 items, 1 stones]|787|746|Sandya|2791
1144127256|41876|Charred Barbarian's Chest|[ Charred Barbarian's Chest],[ (Rare)],[Hue: vintage white (2791)],[Weight: 16 stones],[Price: 250,000],[Contents will be destroyed if broken],[[Single click for more Information],[1 items, 1 stones]|787|746|Sandya|2791
1172664187|41876|Charred Barbarian's Chest|[ Charred Barbarian's Chest],[ (Rare)],[Hue: vintage white (2791)],[Weight: 16 stones],[Price: 250,000],[Contents will be destroyed if broken],[[Single click for more Information],[1 items, 1 stones]|787|746|Sandya|2791
1145066832|41876|Charred Barbarian's Chest|[ Charred Barbarian's Chest],[ (Rare)],[Hue: vintage white (2791)],[Weight: 20 stones],[Price: 250,000],[Contents will be destroyed if broken],[[Single click for more Information],[1 items, 5 stones]|787|746|Sandya|2791
1159355654|41876|Charred Barbarian's Chest|[ Charred Barbarian's Chest],[ (Rare)],[Hue: vintage white (2791)],[Weight: 16 stones],[Price: 250,000],[Contents will be destroyed if broken],[[Single click for more Information],[1 items, 1 stones]|787|746|Sandya|2791
1144067902|41876|Charred Barbarian's Chest|[ Charred Barbarian's Chest],[ (Rare)],[Hue: vintage white (2791)],[Weight: 20 stones],[Price: 250,000],[Contents will be destroyed if broken],[[Single click for more Information],[1 items, 5 stones]|787|746|Sandya|2791
1176831002|41876|Charred Barbarian's Chest|[ Charred Barbarian's Chest],[ (Rare)],[Hue: vintage white (2791)],[Weight: 16 stones],[Price: 250,000],[Contents will be destroyed if broken],[[Single click for more Information],[1 items, 1 stones]|787|746|Sandya|2791
1150223106|41876|Charred Barbarian's Chest|[ Charred Barbarian's Chest],[ (Rare)],[Hue: vintage white (2791)],[Weight: 16 stones],[Price: 250,000],[Contents will be destroyed if broken],[[Single click for more Information],[1 items, 1 stones]|787|746|Sandya|2791
1090798430|5360|an exorcism slayer deed|[an exorcism slayer deed],[ Hue: 1964 ],[Weight: 1 stone],[Price: 15,000]|787|746|Sandya|1964
1090795565|5360|an exorcism slayer deed|[an exorcism slayer deed],[ Hue: 1964 ],[Weight: 1 stone],[Price: 15,000]|787|746|Sandya|1964
1090801056|5360|an exorcism slayer deed|[an exorcism slayer deed],[ Hue: 1964 ],[Weight: 1 stone],[Price: 15,000]|787|746|Sandya|1964
1090788571|5360|an exorcism slayer deed|[an exorcism slayer deed],[ Hue: 1964 ],[Weight: 1 stone],[Price: 15,000]|787|746|Sandya|1964
1118835100|5360|an exorcism slayer deed|[an exorcism slayer deed],[ Hue: 1964 ],[Weight: 1 stone],[Price: 15,000]|787|746|Sandya|1964
1090759828|5360|a repond slayer deed|[a repond slayer deed],[ Hue: 1964 ],[Weight: 1 stone],[Price: 15,000]|787|746|Sandya|1964
1090767022|5360|a repond slayer deed|[a repond slayer deed],[ Hue: 1964 ],[Weight: 1 stone],[Price: 15,000]|787|746|Sandya|1964
1090760075|5360|a repond slayer deed|[a repond slayer deed],[ Hue: 1964 ],[Weight: 1 stone],[Price: 15,000]|787|746|Sandya|1964
1118907568|44722|a cute mushroom|[ a cute mushroom],[ (Rare)],[Weight: 5 stones],[Price: 50,000]|787|745|JAK'S RARES 8-23|0
1127483077|3821|gold coin|[gold coin],[Weight: 1 stone],[Price: 999]|787|745|JAK'S RARES 8-23|0
1092051914|3821|gold coin|[gold coin],[Weight: 1 stone],[Price: 999]|787|745|JAK'S RARES 8-23|0
1092049162|3821|gold coin|[gold coin],[Weight: 1 stone],[Price: 999]|787|745|JAK'S RARES 8-23|0
1126984476|3937|a rusted longsword|[ a rusted longsword],[Hue: Bloodied (2949)],[Tattered gear, the only thing that remains of an adventurer.],[Weight: 7 stones],[Price: 100,000],[one-handed weapon],[durability 3 / 3]|787|745|JAK'S RARES 8-23|2949
1101246219|5121|a mutilated kryss|[ a mutilated kryss],[Hue: Old Fawn Hyper (2952)],[Weight: 2 stones],[Price: 100,000],[one-handed weapon],[durability 3 / 3]|787|745|JAK'S RARES 8-23|2952
1144686984|3911|a mangled axe|[ a mangled axe],[Hue: Bloodied (2949)],[The axe is warped and crusted with dried venom],[Weight: 4 stones],[Price: 100,000],[two-handed weapon],[durability 3 / 3]|787|745|JAK'S RARES 8-23|2949
1172854669|3821|gold coin|[gold coin],[Weight: 1 stone],[Price: 999]|787|745|JAK'S RARES 8-23|0
1127481598|3821|gold coin|[gold coin],[Weight: 1 stone],[Price: 999]|787|745|JAK'S RARES 8-23|0
1212272093|48398|a succubus gong|[ a succubus gong],[ (Epic)],[ Hue: 2701 ],[Weight: 5 stones],[Price: 50,000]|787|745|JAK'S RARES 8-23|2701
1140611992|5042|a dry rotted bow|[ a dry rotted bow],[Hue: Old Fawn Hyper (2952)],[This bow is barely holding together.],[Weight: 6 stones],[Price: 100,000],[range 12],[two-handed weapon],[durability 3 / 3]|787|745|JAK'S RARES 8-23|2952
1081514512|3705|a sticky coin pouch|[a sticky coin pouch],[Hue: vintage white (2791)],[Weight: 1 stone],[Price: 25,000],[0 items, 0 stones]|787|745|JAK'S RARES 8-23|2791
1134277434|3705|a sticky coin pouch|[a sticky coin pouch],[Hue: vintage white (2791)],[Weight: 1 stone],[Price: 25,000],[0 items, 0 stones]|787|745|JAK'S RARES 8-23|2791
1194841788|43286|babarian's dragon scale satchel|[ babarian's dragon scale satchel],[ (Rare)],[Hue: Exposed Brick (2707)],[Weight: 5 stones],[Price: 50,000],[0 items, 0 stones]|787|745|JAK'S RARES 8-23|2707
1142606746|40702|an easter arch|[an easter arch],[Blessed],[Weight: 1 stone],[Price: 29,999]|791|750|TRICKY'S SHOPPE|0
1142606621|40702|an easter arch|[an easter arch],[Blessed],[Weight: 1 stone],[Price: 29,999]|791|750|TRICKY'S SHOPPE|0
1080114281|40703|a mini Easter arch|[a mini Easter arch],[Blessed],[Weight: 1 stone],[Price: 29,999]|791|750|TRICKY'S SHOPPE|0
1080114426|40703|a mini Easter arch|[a mini Easter arch],[Blessed],[Weight: 1 stone],[Price: 29,999]|791|750|TRICKY'S SHOPPE|0
1080114093|40703|a mini Easter arch|[a mini Easter arch],[Blessed],[Weight: 1 stone],[Price: 29,999]|791|750|TRICKY'S SHOPPE|0
1080114695|40703|a mini Easter arch|[a mini Easter arch],[Blessed],[Weight: 1 stone],[Price: 29,999]|791|750|TRICKY'S SHOPPE|0
1080114385|40703|a mini Easter arch|[a mini Easter arch],[Blessed],[Weight: 1 stone],[Price: 29,999]|791|750|TRICKY'S SHOPPE|0
1134318317|21400|titan slayer 2025|[ titan slayer 2025],[ (Rare)],[Hue: Arcturus (2453)],[Weight: 1 stone],[Price: 24,999]|791|750|TRICKY'S SHOPPE|2453
1267079976|21400|titan slayer 2025|[ titan slayer 2025],[ (Rare)],[Hue: Arcturus (2453)],[Weight: 1 stone],[Price: 24,999]|791|750|TRICKY'S SHOPPE|2453
1097121081|21400|titan slayer 2025|[ titan slayer 2025],[ (Rare)],[Hue: Arcturus (2453)],[Weight: 1 stone],[Price: 24,999]|791|750|TRICKY'S SHOPPE|2453
1097174680|21400|titan slayer 2025|[ titan slayer 2025],[ (Rare)],[Hue: Arcturus (2453)],[Weight: 1 stone],[Price: 24,999]|791|750|TRICKY'S SHOPPE|2453
1097597920|21399|titan slayer 2025|[ titan slayer 2025],[ (Rare)],[Hue: Arcturus (2453)],[Weight: 1 stone],[Price: 24,999]|791|750|TRICKY'S SHOPPE|2453
1106432165|9228|titan fans|[ titan fans],[ (Epic)],[Hue: Polished Bronze (2151)],[Weight: 1 stone],[Price: 24,999]|791|750|TRICKY'S SHOPPE|2151
1106523542|9228|titan fans|[ titan fans],[ (Epic)],[Hue: Polished Bronze (2151)],[Weight: 1 stone],[Price: 24,999]|791|750|TRICKY'S SHOPPE|2151
1097475695|9228|titan fans|[ titan fans],[ (Epic)],[Hue: Polished Bronze (2151)],[Weight: 1 stone],[Price: 24,999]|791|750|TRICKY'S SHOPPE|2151
1106633841|9228|titan fans|[ titan fans],[ (Epic)],[Hue: Polished Bronze (2151)],[Weight: 1 stone],[Price: 24,999]|791|750|TRICKY'S SHOPPE|2151
1107477312|4230|an easter bracelet|[an easter bracelet],[Blessed],[Hue: Blue Green (1162)],[Weight: 1 stone],[Price: 400,000]|791|750|TRICKY'S SHOPPE|1162
1132033254|3613|a cannon fuse|[a cannon fuse],[Hue: Red Blue (1172)],[Weight: 16 stones],[Price: 50,000]|791|750|TRICKY'S SHOPPE|1172
1106966794|21399|titan slayer 2025|[ titan slayer 2025],[ (Rare)],[Hue: Arcturus (2453)],[Weight: 1 stone],[Price: 24,999]|791|750|TRICKY'S SHOPPE|2453
1167906584|10919|a Finesse relic|[ a Finesse relic],[ (Relic)],[Quality: Flawed],[Hue: Tang (2297)],[Weight: 8 stones],[Price: 800,000]|791|750|TRICKY'S SHOPPE|2297
1155739660|10914|a remedy relic|[ a remedy relic],[ (Relic)],[Quality: Crumbling],[ Hue: 1368 ],[Weight: 8 stones],[Price: 200,000]|791|750|TRICKY'S SHOPPE|1368
1093115793|19678|mystic statue|[mystic statue],[Blessed],[Hue: V-Day Pink (1791)],[Weight: 1 stone],[Price: 2,500,000]|784|736|SUPERWAREZ|1791
1081354160|19678|mystic statue|[mystic statue],[Blessed],[Hue: Holiday Green (1272)],[Weight: 1 stone],[Price: 2,000,000]|784|736|SUPERWAREZ|1272
1093304676|5991|cloth|[cloth],[Hue: Frostwood (1151)],[Weight: 1 stone],[Price: 75,000]|781|762||1151
1115375466|5360|an ethereal dyeing deed|[an ethereal dyeing deed],[Hue: Cyan (691)],[Weight: 1 stone],[Price: 300,000]|784|735|SUPERWAREZ|691
1087354912|5360|an ethereal dyeing deed|[an ethereal dyeing deed],[Hue: Cyan (691)],[Weight: 1 stone],[Price: 250,000]|784|735|SUPERWAREZ|691
1081352330|20640|holly waterfall|[holly waterfall],[Blessed],[Hue: Radioactive (2088)],[Weight: 1 stone],[Price: 2,000,000]|784|735|SUPERWAREZ|2088
1081361674|20636|a glacier water fountain|[a glacier water fountain],[Blessed],[Hue: Glacial (1152)],[Weight: 1 stone],[Price: 3,000,000]|784|735|SUPERWAREZ|1152
1101766981|5119|valorite katana|[ valorite katana],[ (Rare)],[Hue: Valorite Ore (1348)],[Exceptional],[Indestructible],[Vanquishing],[Supremely Accurate],[Increases Tactics by 25],[Weight: 6 stones],[Price: 900,000],[exceptional],[Damage Increase +11],[one-handed weapon],[durability 180 / 180]|783|759|ValoriteWeapons900k|1348
1101774618|3938|valorite long spear|[ valorite long spear],[ (Rare)],[Hue: Valorite Ore (1348)],[Exceptional],[Indestructible],[Vanquishing],[Supremely Accurate],[Increases Tactics by 25],[Weight: 7 stones],[Price: 900,000],[exceptional],[Damage Increase +11],[two-handed weapon],[durability 116 / 116]|783|759|ValoriteWeapons900k|1348
1101774421|3938|valorite long spear|[ valorite long spear],[ (Rare)],[Hue: Valorite Ore (1348)],[Exceptional],[Indestructible],[Vanquishing],[Supremely Accurate],[Increases Tactics by 25],[Weight: 7 stones],[Price: 900,000],[exceptional],[Damage Increase +11],[two-handed weapon],[durability 96 / 96]|783|759|ValoriteWeapons900k|1348
1101774227|3938|valorite long spear|[ valorite long spear],[ (Rare)],[Hue: Valorite Ore (1348)],[Exceptional],[Indestructible],[Vanquishing],[Supremely Accurate],[Increases Tactics by 25],[Weight: 7 stones],[Price: 900,000],[exceptional],[Damage Increase +11],[two-handed weapon],[durability 108 / 108]|783|759|ValoriteWeapons900k|1348
1101775137|3938|valorite long spear|[ valorite long spear],[ (Rare)],[Hue: Valorite Ore (1348)],[Exceptional],[Indestructible],[Vanquishing],[Supremely Accurate],[Increases Tactics by 25],[Weight: 7 stones],[Price: 900,000],[exceptional],[Damage Increase +11],[two-handed weapon],[durability 128 / 128]|783|759|ValoriteWeapons900k|1348
1099900656|3922|valorite dagger|[ valorite dagger],[ (Rare)],[Hue: Valorite Ore (1348)],[Exceptional],[Indestructible],[Vanquishing],[Supremely Accurate],[Increases Tactics by 25],[Weight: 1 stone],[Price: 900,000],[exceptional],[Damage Increase +11],[one-handed weapon],[durability 84 / 84]|783|759|ValoriteWeapons900k|1348
1099895273|3922|valorite dagger|[ valorite dagger],[ (Rare)],[Hue: Valorite Ore (1348)],[Exceptional],[Indestructible],[Vanquishing],[Supremely Accurate],[Increases Tactics by 25],[Weight: 1 stone],[Price: 900,000],[exceptional],[Damage Increase +11],[one-handed weapon],[durability 116 / 116]|783|759|ValoriteWeapons900k|1348
1099904240|3922|valorite dagger|[ valorite dagger],[ (Rare)],[Hue: Valorite Ore (1348)],[Exceptional],[Indestructible],[Vanquishing],[Supremely Accurate],[Increases Tactics by 25],[Weight: 1 stone],[Price: 900,000],[exceptional],[Damage Increase +11],[one-handed weapon],[durability 82 / 82]|783|759|ValoriteWeapons900k|1348
1126052572|3915|valorite double axe|[ valorite double axe],[ (Rare)],[Hue: Valorite Ore (1348)],[Exceptional],[Indestructible],[Vanquishing],[Supremely Accurate],[Increases Tactics by 25],[Weight: 8 stones],[Price: 900,000],[exceptional],[Damage Increase +11],[two-handed weapon],[durability 238 / 238]|783|759|ValoriteWeapons900k|1348
1126053703|3915|valorite double axe|[ valorite double axe],[ (Rare)],[Hue: Valorite Ore (1348)],[Exceptional],[Indestructible],[Vanquishing],[Supremely Accurate],[Increases Tactics by 25],[Weight: 8 stones],[Price: 900,000],[exceptional],[Damage Increase +11],[two-handed weapon],[durability 204 / 204]|783|759|ValoriteWeapons900k|1348
1126052693|3915|valorite double axe|[ valorite double axe],[ (Rare)],[Hue: Valorite Ore (1348)],[Exceptional],[Indestructible],[Vanquishing],[Supremely Accurate],[Increases Tactics by 25],[Weight: 8 stones],[Price: 900,000],[exceptional],[Damage Increase +11],[two-handed weapon],[durability 154 / 154]|783|759|ValoriteWeapons900k|1348
1126053082|3915|valorite double axe|[ valorite double axe],[ (Rare)],[Hue: Valorite Ore (1348)],[Exceptional],[Indestructible],[Vanquishing],[Supremely Accurate],[Increases Tactics by 25],[Weight: 8 stones],[Price: 900,000],[exceptional],[Damage Increase +11],[two-handed weapon],[durability 192 / 192]|783|759|ValoriteWeapons900k|1348
1126053437|3915|valorite double axe|[ valorite double axe],[ (Rare)],[Hue: Valorite Ore (1348)],[Exceptional],[Indestructible],[Vanquishing],[Supremely Accurate],[Increases Tactics by 25],[Weight: 8 stones],[Price: 900,000],[exceptional],[Damage Increase +11],[two-handed weapon],[durability 120 / 120]|783|759|ValoriteWeapons900k|1348
1093865679|11113|exceptional blue dragon scale gorget|[ exceptional blue dragon scale gorget],[Hue: Valorite (2224)],[Exceptional],[Water Dissipation],[Layer: Neck],[Weight: 2 stones],[Price: 10,000],[crafted by Sally Ragdoll],[durability 20%],[strength requirement 30],[durability 61 / 75]|792|750|TRICKY'S SHOPPE|2224
1164130408|5177|war hammer|[ war hammer],[Silver],[Might],[Surpassingly Accurate],[Increases Tactics by 10],[Weight: 10 stones],[Price: 15,000],[Damage Increase +3],[two-handed weapon],[durability 29 / 50]|792|750|TRICKY'S SHOPPE|0
1164164187|5040|war axe|[ war axe],[Terathan],[Force],[Eminently Accurate],[Increases Tactics by 15],[Weight: 8 stones],[Price: 15,000],[Damage Increase +5],[one-handed weapon],[durability 69 / 69]|792|750|TRICKY'S SHOPPE|0
1234667726|3911|battle axe|[ battle axe],[Arachnid Doom],[Substantial],[Might],[Surpassingly Accurate],[Increases Tactics by 10],[Weight: 4 stones],[Price: 15,000],[Damage Increase +3],[two-handed weapon],[durability 117 / 117]|792|750|TRICKY'S SHOPPE|0
1187935584|5445|Polar Bear Mask|[ Polar Bear Mask],[Hue: Pure White (1153)],[Layer: Helm],[Weight: 5 stones],[Price: 4,999],[durability 255 / 255]|792|750|TRICKY'S SHOPPE|1153
1086340713|7609|leather cap|[ leather cap],[Repond],[Layer: Helm],[Weight: 2 stones],[Price: 10,000],[strength requirement 15],[durability 10 / 36]|792|750|TRICKY'S SHOPPE|0
1149870022|16572|statue|[statue],[Weight: 10 stones],[Price: 40,000]|790|749|COOL CRAP|0
1134731246|9228|titan fans|[ titan fans],[ (Epic)],[Hue: Polished Bronze (2151)],[Weight: 1 stone],[Price: 50,000]|790|749|COOL CRAP|2151
1090350072|48467|Cupid's Chest|[ Cupid's Chest],[ (Rare)],[Weight: 15 stones],[Price: 250,000],[Contents will be destroyed if broken],[[Single click for more Information]|790|749|COOL CRAP|0
1082272607|46373|a special heart shaped box|[ a special heart shaped box],[ (Magical)],[Hue: Neon Pink (1166)],[Weight: 70 stones],[Price: 100,000],[25 items, 65 stones]|790|749|COOL CRAP|1166
1091939957|44418|Christmas stocking|[ Christmas stocking],[ (Rare)],[Hue: Kissable (2442)],[Weight: 67 stones],[Price: 100,000],[21 items, 62 stones]|790|749|COOL CRAP|2442
1134872990|9677|a golden titan statue|[ a golden titan statue],[ (Rare)],[Hue: Arcturus (2453)],[Weight: 1 stone],[Price: 100,000]|790|749|COOL CRAP|2453
1097583101|4084|a book|[ a book],[Author: Buggs Bunny],[Pages: 40],[Hue: Blood Red (1157)],[Weight: 2 stones],[Price: 100,000]|790|749|COOL CRAP|1157
1088570333|5360|a clothing bless deed|[a clothing bless deed],[Weight: 1 stone],[Price: 150,000]|782|759|CBD 150k PEr|0
1088570521|5360|a clothing bless deed|[a clothing bless deed],[Weight: 1 stone],[Price: 150,000]|782|759|CBD 150k PEr|0
1088570110|5360|a clothing bless deed|[a clothing bless deed],[Weight: 1 stone],[Price: 150,000]|782|759|CBD 150k PEr|0
1088569853|5360|a clothing bless deed|[a clothing bless deed],[Weight: 1 stone],[Price: 150,000]|782|759|CBD 150k PEr|0
1088566579|5360|a clothing bless deed|[a clothing bless deed],[Weight: 1 stone],[Price: 150,000]|782|759|CBD 150k PEr|0
1088566361|5360|a clothing bless deed|[a clothing bless deed],[Weight: 1 stone],[Price: 150,000]|782|759|CBD 150k PEr|0
1088566853|5360|a clothing bless deed|[a clothing bless deed],[Weight: 1 stone],[Price: 150,000]|782|759|CBD 150k PEr|0
1088566028|5360|a clothing bless deed|[a clothing bless deed],[Weight: 1 stone],[Price: 150,000]|782|759|CBD 150k PEr|0
1088567133|5360|a clothing bless deed|[a clothing bless deed],[Weight: 1 stone],[Price: 150,000]|782|759|CBD 150k PEr|0
1088564889|5360|a clothing bless deed|[a clothing bless deed],[Weight: 1 stone],[Price: 150,000]|782|759|CBD 150k PEr|0
1088561345|5360|a clothing bless deed|[a clothing bless deed],[Weight: 1 stone],[Price: 150,000]|782|759|CBD 150k PEr|0
1088560974|5360|a clothing bless deed|[a clothing bless deed],[Weight: 1 stone],[Price: 150,000]|782|759|CBD 150k PEr|0
1088560120|5360|a clothing bless deed|[a clothing bless deed],[Weight: 1 stone],[Price: 150,000]|782|759|CBD 150k PEr|0
1088560457|5360|a clothing bless deed|[a clothing bless deed],[Weight: 1 stone],[Price: 150,000]|782|759|CBD 150k PEr|0
1088558938|5360|a clothing bless deed|[a clothing bless deed],[Weight: 1 stone],[Price: 150,000]|782|759|CBD 150k PEr|0
1088559223|5360|a clothing bless deed|[a clothing bless deed],[Weight: 1 stone],[Price: 150,000]|782|759|CBD 150k PEr|0
1088558490|5360|a clothing bless deed|[a clothing bless deed],[Weight: 1 stone],[Price: 150,000]|782|759|CBD 150k PEr|0
1088558099|5360|a clothing bless deed|[a clothing bless deed],[Weight: 1 stone],[Price: 150,000]|782|759|CBD 150k PEr|0
1088557292|5360|a clothing bless deed|[a clothing bless deed],[Weight: 1 stone],[Price: 150,000]|782|759|CBD 150k PEr|0
1088556381|5360|a clothing bless deed|[a clothing bless deed],[Weight: 1 stone],[Price: 150,000]|782|759|CBD 150k PEr|0
1088556882|5360|a clothing bless deed|[a clothing bless deed],[Weight: 1 stone],[Price: 150,000]|782|759|CBD 150k PEr|0
1088556011|5360|a clothing bless deed|[a clothing bless deed],[Weight: 1 stone],[Price: 150,000]|782|759|CBD 150k PEr|0
1088555422|5360|a clothing bless deed|[a clothing bless deed],[Weight: 1 stone],[Price: 150,000]|782|759|CBD 150k PEr|0
1135373859|5177|golden war hammer|[ golden war hammer],[ (Magical)],[Hue: Gold Ore (1719)],[Exceptional],[Indestructible],[Force],[Eminently Accurate],[Increases Tactics by 15],[Weight: 10 stones],[Price: 65,000],[exceptional],[Damage Increase +9],[two-handed weapon],[durability 192 / 192]|786|759|GoldRunicWeaps65kPer|1719
1135373957|5177|golden war hammer|[ golden war hammer],[ (Magical)],[Hue: Gold Ore (1719)],[Exceptional],[Indestructible],[Force],[Eminently Accurate],[Increases Tactics by 15],[Weight: 10 stones],[Price: 65,000],[exceptional],[Damage Increase +9],[two-handed weapon],[durability 252 / 252]|786|759|GoldRunicWeaps65kPer|1719
1135373644|5177|golden war hammer|[ golden war hammer],[ (Magical)],[Hue: Gold Ore (1719)],[Exceptional],[Indestructible],[Force],[Eminently Accurate],[Increases Tactics by 15],[Weight: 10 stones],[Price: 65,000],[exceptional],[Damage Increase +9],[two-handed weapon],[durability 216 / 216]|786|759|GoldRunicWeaps65kPer|1719
1135373790|5177|golden war hammer|[ golden war hammer],[ (Magical)],[Hue: Gold Ore (1719)],[Exceptional],[Indestructible],[Force],[Eminently Accurate],[Increases Tactics by 15],[Weight: 10 stones],[Price: 65,000],[exceptional],[Damage Increase +9],[two-handed weapon],[durability 96 / 96]|786|759|GoldRunicWeaps65kPer|1719
1135374843|5177|golden war hammer|[ golden war hammer],[ (Magical)],[Hue: Gold Ore (1719)],[Exceptional],[Indestructible],[Force],[Eminently Accurate],[Increases Tactics by 15],[Weight: 10 stones],[Price: 65,000],[exceptional],[Damage Increase +9],[two-handed weapon],[durability 226 / 226]|786|759|GoldRunicWeaps65kPer|1719
1135407710|3938|golden long spear|[ golden long spear],[ (Magical)],[Hue: Gold Ore (1719)],[Exceptional],[Indestructible],[Force],[Eminently Accurate],[Increases Tactics by 15],[Weight: 7 stones],[Price: 65,000],[exceptional],[Damage Increase +9],[two-handed weapon],[durability 168 / 168]|786|759|GoldRunicWeaps65kPer|1719
1135407293|3938|golden long spear|[ golden long spear],[ (Magical)],[Hue: Gold Ore (1719)],[Exceptional],[Indestructible],[Force],[Eminently Accurate],[Increases Tactics by 15],[Weight: 7 stones],[Price: 65,000],[exceptional],[Damage Increase +9],[two-handed weapon],[durability 156 / 156]|786|759|GoldRunicWeaps65kPer|1719
1135407405|3938|golden long spear|[ golden long spear],[ (Magical)],[Hue: Gold Ore (1719)],[Exceptional],[Indestructible],[Force],[Eminently Accurate],[Increases Tactics by 15],[Weight: 7 stones],[Price: 65,000],[exceptional],[Damage Increase +9],[two-handed weapon],[durability 108 / 108]|786|759|GoldRunicWeaps65kPer|1719
1135405687|5123|golden short spear|[ golden short spear],[ (Magical)],[Hue: Gold Ore (1719)],[Exceptional],[Indestructible],[Force],[Eminently Accurate],[Increases Tactics by 15],[Weight: 4 stones],[Price: 65,000],[exceptional],[Damage Increase +9],[two-handed weapon],[durability 120 / 120]|786|759|GoldRunicWeaps65kPer|1719
